157.77,157.06,141.36,15.78,157.24,157.26,15.78,15.72,157.55,156.69
151.51,150.26,135.05,15.58,151.27,150.29,15.66,15.88,151.44,150.35
157.63,156.11,142.05,15.53,157.19,156.23,15.66,15.74,158.09,157.54
151.19,150.42,135.98,15.68,151.13,150.22,15.77,15.67,151.42,150.45
157.71,156.39,142.36,15.75,157.69,156.82,15.7,15.77,157.42,157.25
151.39,149.99,135.11,15.61,151.01,149.98,15.68,15.71,151.36,150.42
157.07,156.44,142.72,15.7,156.52,155.78,15.84,15.61,157.9,156.81
151.7,150.74,135.26,15.69,151.5,150.7,15.69,15.98,151.76,150.87
157.06,156.49,141.12,15.72,157.75,156.44,15.73,15.66,156.74,155.95
156.14,154.31,135.61,15.6,154.47,153.12,15.76,15.66,152.06,151.11
